Experiment,rev,typ,Created,parent,sharpe_ratio,stdev,ir2,sortino_ratio,start,end,sharpe_ratio_full,stdev_full,ir2_full,sortino_ratio_full,start_full,end_full,general.asset,general.tfmin,general.performance_stat,general.datapath,general.raw_data,strategy.param.path,wf.param.path,wf.train_length,wf.test_length,wf.day_clip_front,wf.day_clip_back,master\data-raw\data_test_20180101_20190630.csv,master\data-wip\01_converted_to_xts.rds,master\data-wip\1\60\02_downsampled.rds,master\data-wip\1\60\03_precalculated.rds,master\data-wip\1\60\04_positions.rds,master\data-wip\1\60\05_pnl.rds,master\data-wip\1\60\06_wf_indexes.rds,master\data-wip\1\60\07_wf_metrics.rds,master\data-wip\1\60\08_wf_best_params.rds,master\rcode\01_convert_to_xts.r,master\rcode\05_calculate_pnl.r,master\rcode\06_wf_calculate_indexes.r,master\rcode\07_wf_calculate_metrics.r,master\rcode\08_wf_select_best_params.r,master\rcode\09_wf_eval_test.r,master\rcode\logic\WfHelper.r,master\rcode\logic\WfHelper.yaml,master\rcode\logic\helpers\data_helper.r,master\rcode\logic\helpers\metrics_helper.r,master\rcode\logic\strategy.r,master\rcode\logic\strategy_param.yaml
soupy-weep,25bc1bb,branch_commit,2023-12-12T22:39:19,,1.1463287,0.0077433,2.5009111,1.6554769,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.0006632,0.0083577,1.7596489,1.4279076,start 2018-01-19 07:59:00,end 2019-06-21 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,14,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,5bbf3593a3b5e0b0eea9d924d17f3c28,b225100f4faef5ef906e3d79c6501698,7e1dfd8e2e9135e69ec3f864a7d7b4c4,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

strip-tret,f2bfb7a,branch_commit,2023-12-12T22:38:34,,1.3162392,0.0077423,3.1581806,1.9037442,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.0172823,0.0083726,2.0862775,1.4529906,start 2018-01-19 07:59:00,end 2019-06-23 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,10,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,7076c0f0a2b4968fea87cd270ba266e8,3ea38766102942373e62bcc765d67a0d,688a07331f0138f9f47a948b5738d817,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

tepid-delf,cb30549,branch_commit,2023-12-12T22:37:51,,1.1235055,0.0077429,1.8747191,1.6220624,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.0716048,0.0084949,2.0508579,1.525195,start 2018-01-19 07:59:00,end 2019-06-28 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,7,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,80070917ec2ce2d0931df0e2e68a8807,a5140c5aba051206fd0264d926adf7ed,23d1a56fab746c330dc9f4c8425c198f,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

aided-sale,a87d6ab,branch_commit,2023-12-12T22:37:10,,0.940915,0.0077414,1.5202611,1.356423,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.8896465,0.0084937,1.6343871,1.2627884,start 2018-01-19 07:59:00,end 2019-06-28 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,5,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,1bc747c7901b1f7bfc69ead0ade1671c,77072172717122c4dbb3f91af67cd9cb,075c8c76c79379a2ea1fc24c18e9514e,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

every-whey,81d5406,branch_commit,2023-12-12T22:36:28,,1.219116,0.0077418,2.296151,1.7478926,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.18362,0.0084929,2.6023951,1.6785305,start 2018-01-19 07:59:00,end 2019-06-28 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,3,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,83acab32e416cdb4cd2eba698871788c,cefbc8ae184ad111de9562f0cd4026da,9dafcd4b24cbed81dc3f4fc6d44c3045,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

zingy-hulk,aca9c17,branch_commit,2023-12-12T22:35:34,,0.9491393,0.0077433,1.2823116,1.3645058,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.8915466,0.0085205,1.3671345,1.2650806,start 2018-01-19 07:59:00,end 2019-06-29 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,2,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,6c3605832fbb0024779f4854939e356f,e7ac085400525249a95093fe258d2cf6,1599fc2ad3ba033211e7cae5c06d38b7,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

mated-rial,64b9451,branch_commit,2023-12-12T22:34:41,,0.6352626,0.0077436,0.6260857,0.9093711,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.3450722,0.008525,0.2237551,0.4848911,start 2018-01-19 07:59:00,end 2019-06-30 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,1,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,a3b2bfe40cae7224b26d171cb6c13dfe,a18be2e39172075838392f563410a7fc,1f16a73c5e38706d9910c2ce8da3c896,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

manly-hour,34aa2e8,branch_commit,2023-12-12T22:33:27,,1.2866943,0.0077458,3.9183952,1.8708112,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.0640635,0.0087127,1.725319,1.5265557,start 2018-01-16 07:59:00,end 2019-06-04 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,28,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,8f91d45c1fa93c37d944c54f7a4c3249,137f9108db67af22eae7069e1c1d91d5,f4b230db67c71b80383f56e6af731887,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

pavid-ears,d85234b,branch_commit,2023-12-12T22:32:52,,1.4635061,0.0077436,3.9320967,2.1275906,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.3044141,0.0086582,2.6839052,1.8753635,start 2018-01-16 07:59:00,end 2019-06-25 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,21,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,8904349aa7923372de25d18a496accf7,5930cfa4c8287ff6f926c087431b2ef2,7a44c8db39b18dcf1cb3e484e57823b3,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

flown-gaby,f8f16e1,branch_commit,2023-12-12T22:32:16,,0.8779462,0.0077477,1.5427028,1.2646959,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.8424072,0.0086722,1.1059704,1.2032551,start 2018-01-16 07:59:00,end 2019-06-18 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,14,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,f1f4af8b32012dcaff6a03056ce7aad4,1c9d958daba5c56687c0c3d94dd1934c,be89eb8736754c139a2617d102a933af,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

wider-cult,3ee0837,branch_commit,2023-12-12T22:31:39,,1.0121227,0.0077436,1.8779477,1.4527301,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.655662,0.0088076,0.6991119,0.9282953,start 2018-01-16 07:59:00,end 2019-06-30 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,10,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,ff1c9fafaeb313d3089c435b0dbf1e3d,9ad83a06898134da5ad91526267fa326,d09d3c541db52a8e446f88365d801d1b,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

cauld-banc,a81a4b9,branch_commit,2023-12-12T22:31:00,,0.9723355,0.0077444,1.7364127,1.3931547,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.9461898,0.0086589,1.9058347,1.3480182,start 2018-01-16 07:59:00,end 2019-06-25 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,7,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,8f174dca731ff923adbcb86c796e2279,2975b15aa58ecf89eb7b32aaf8d7e4e7,c8d7b5000b0bb7ab995553f517743006,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

varus-he'd,bd269c3,branch_commit,2023-12-12T22:30:22,,0.8974235,0.0077472,1.4322906,1.2856137,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.8136781,0.0088106,1.4816363,1.1527145,start 2018-01-16 07:59:00,end 2019-06-30 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,5,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,67b31a756a983c3245c91009597ab3ef,9425957ef5cc7f9d82dd92bcf4b3dfee,b40e2f67f946d197a59e764dda6d52a9,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

picky-gnat,df47604,branch_commit,2023-12-12T22:29:39,,1.2147864,0.0077448,2.0185126,1.7478744,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.9673413,0.008781,1.5996385,1.3746812,start 2018-01-16 07:59:00,end 2019-06-28 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,3,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,a2834fbea8e06bb9f2c9824b6f4eb119,bfff629eb04a9ee015488243abae0c6c,0ca624e20a67fbee10a4383fab0413a1,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

level-term,274c580,branch_commit,2023-12-12T22:28:51,,1.0541236,0.0077452,1.8958721,1.5141992,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.7757322,0.008808,1.2919275,1.1004197,start 2018-01-16 07:59:00,end 2019-06-30 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,2,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,302337c3e366d5759c45d29ea11d4b80,c34c56f916f743421f1adeaeabf347d2,39cbf764f5c04638c2fb0fd48756da9a,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

cushy-gram,f448747,branch_commit,2023-12-12T22:27:59,,1.0992167,0.0077449,2.2376743,1.587256,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.9119663,0.0088085,1.7168392,1.301614,start 2018-01-16 07:59:00,end 2019-06-30 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,1,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,28ec02d127dfbd3c164543ca0c300c72,ccde687a24909d35d6736e2064f55e5e,f367282581918538ef20fceea25f3ea5,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

ahull-loge,080c64a,branch_commit,2023-12-12T22:26:49,,1.117296,0.0077438,2.8082715,1.5965175,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.1903296,0.0088212,2.3074119,1.6860444,start 2018-01-14 07:59:00,end 2019-06-30 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,5,28,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,5c676e2ece1deb0ca1909fb56702be17,4793042819294a83e290951fa86d0011,0fb73186b2ca88ecf8c1df99364ecc14,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

eight-bunk,5152d1c,branch_commit,2023-12-12T22:26:13,,1.2222631,0.0077471,3.0461791,1.7394732,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,1.1507869,0.008682,2.0946802,1.6309735,start 2018-01-14 07:59:00,end 2019-06-23 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,5,21,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,90fcf0c500af1e2df555b02546e05520,cade04e80813010f58553e5ccf3b6cae,f94c09103ce37189ad01b2348840c009,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

forky-lame,8a49a7f,branch_commit,2023-12-12T22:25:35,,0.8926331,0.0077479,1.3226382,1.2736527,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.8205147,0.008824,1.0803289,1.1615469,start 2018-01-14 07:59:00,end 2019-06-30 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190630.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,5,14,37,30,35f18178ce195ef8f609cb4f47726b62,63da8fa68e81f8afef622a05846e7f08,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,fff4f53c09efa20524f1e8bb496c80b3,db2eaef749e1f7af16cc3d0e9000d2c4,58b0a1599a1c57ca66b31ccbe80feb01,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,fd7bb4e82f332ef272f63ffdf495ace7,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249

