Experiment,rev,typ,Created,parent,sharpe_ratio,stdev,general.timeframe,general.asset,general.tfmin,general.performance_stat,general.datapath,strategy.param.path,wf.param.path,wf.train_length,wf.test_length,master\data-raw\train_300klines.csv,master\data-wip\01_converted_to_xts.rds,master\data-wip\1\10\02_downsampled.rds,master\data-wip\1\10\03_precalculated.rds,master\data-wip\1\10\04_positions.rds,master\data-wip\1\10\05_pnl.rds,master\data-wip\1\10\06_wf_indexes.rds,master\data-wip\1\10\07_wf_metrics.rds,master\data-wip\1\10\08_wf_best_params.rds,master\data-wip\1\1\02_downsampled.rds,master\data-wip\1\1\03_precalculated.rds,master\data-wip\1\1\04_positions.rds,master\data-wip\1\1\05_pnl.rds,master\data-wip\1\1\06_wf_indexes.rds,master\data-wip\1\1\07_wf_metrics.rds,master\data-wip\1\1\08_wf_best_params.rds,master\data-wip\1\5\02_downsampled.rds,master\data-wip\1\5\03_precalculated.rds,master\data-wip\1\5\04_positions.rds,master\data-wip\1\5\05_pnl.rds,master\data-wip\1\5\06_wf_indexes.rds,master\data-wip\1\5\07_wf_metrics.rds,master\data-wip\1\5\08_wf_best_params.rds,master\rcode\01_convert_to_xts.R,master\rcode\06_wf_calculate_indexes.R,master\rcode\07_wf_calculate_metrics.r,master\rcode\08_wf_select_best_params.r,master\rcode\09_wf_eval_test.R,master\rcode\logic\WfHelper.r,master\rcode\logic\strategy.r,master\rcode\logic\strategy_param.yaml
unapt-site,a62f1d9,branch_commit,2023-09-30T10:11:21,,-2.1877184,0.0019522,"[1, 10, 15]",1,1,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,1,5,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,82376e9058a716b04bcbaea69c591b8f,d16b177364a71860c7b7c2c870343642,b87402d83af266b640da0988c966f13b,63b8f5c04bd003ad074836b1e38e0d9f,6a56e69b6b1f9e53edfcbd72e064dfcf,4a9437af9151ce415a400e4ba27373af,9008e77a24578b05cf66fb0ce41d7c52,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,4e3e0a9dfa866722a7cf451fbcfde815,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

spiry-doge,b3f3577,branch_commit,2023-09-30T10:10:59,,0.1646777,0.0019675,"[1, 10, 15]",1,1,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,1,4,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,82376e9058a716b04bcbaea69c591b8f,d16b177364a71860c7b7c2c870343642,b87402d83af266b640da0988c966f13b,63b8f5c04bd003ad074836b1e38e0d9f,039e0878e72317702200f92ad8f3abb2,6d06bbe604dd1db9f7c5e4881cda1cbc,f16bd5ea61d604b509c480ae4b970f71,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,4e3e0a9dfa866722a7cf451fbcfde815,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

alone-beth,ff05566,branch_commit,2023-09-30T10:10:41,,2.331538,0.0019647,"[1, 10, 15]",1,1,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,1,3,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,82376e9058a716b04bcbaea69c591b8f,d16b177364a71860c7b7c2c870343642,b87402d83af266b640da0988c966f13b,63b8f5c04bd003ad074836b1e38e0d9f,66d8699c0fb0bd9c7433ae1828e6895e,ee005cc1af06aa332a387627c7ae18f0,aa9b14672019ae9d820665e32f60c2e4,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,4e3e0a9dfa866722a7cf451fbcfde815,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

acred-azan,76681ab,branch_commit,2023-09-30T10:10:23,,2.6030513,0.0019646,"[1, 10, 15]",1,1,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,1,2,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,82376e9058a716b04bcbaea69c591b8f,d16b177364a71860c7b7c2c870343642,b87402d83af266b640da0988c966f13b,63b8f5c04bd003ad074836b1e38e0d9f,be6317af4b17a3f44e71686acc6e69b5,dafa58f38d461b4721067c568e08cd5e,7253c71e1bc81f32e0f971ee43f8b838,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,4e3e0a9dfa866722a7cf451fbcfde815,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

ahull-jota,b88e96a,branch_base,2023-09-30T10:10:06,,2.7366419,0.0019543,"[1, 10, 15]",1,1,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,1,1,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,82376e9058a716b04bcbaea69c591b8f,d16b177364a71860c7b7c2c870343642,b87402d83af266b640da0988c966f13b,63b8f5c04bd003ad074836b1e38e0d9f,04dd7db31aeab6799e9db1f78c8eb853,cbe9b5f74f552253c034517d1d2e165a,de5b47e7fc86cca259f6126aa9d39c42,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,4e3e0a9dfa866722a7cf451fbcfde815,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

